Date,Gold,Oil,interest_rate,USD_IDR
2022-06-01,1843.300048828125,115.26000213623047,0.83,14515.0
2022-06-02,1866.5,116.87000274658203,0.83,14515.0
2022-06-03,1845.4000244140625,118.87000274658203,0.83,14515.0
2022-06-06,1839.199951171875,118.5,0.83,14499.0
2022-06-07,1847.5,119.41000366210938,0.83,14499.0
2022-06-08,1851.9000244140625,122.11000061035156,0.83,14499.0
2022-06-09,1848.800048828125,121.51000213623047,0.83,14499.0
2022-06-10,1871.5,120.66999816894531,0.83,14499.0
2022-06-13,1828.0,120.93000030517578,0.83,14764.0
2022-06-14,1809.5,118.93000030517578,0.83,14764.0
2022-06-15,1815.300048828125,115.30999755859375,0.83,14764.0
2022-06-16,1845.699951171875,117.58999633789062,1.58,14764.0
2022-06-17,1835.5999755859375,109.55999755859375,1.58,14764.0
2022-06-20,1835.5999755859375,109.55999755859375,1.58,14842.0
2022-06-21,1834.5999755859375,110.6500015258789,1.58,14842.0
2022-06-22,1834.300048828125,106.19000244140625,1.58,14842.0
2022-06-23,1825.699951171875,104.2699966430664,1.58,14842.0
2022-06-24,1826.5,107.62000274658203,1.58,14842.0
2022-06-27,1820.9000244140625,109.56999969482422,1.58,14886.0
2022-06-28,1817.5,111.76000213623047,1.58,14886.0
2022-06-29,1813.699951171875,109.77999877929688,1.58,14886.0
2022-06-30,1804.0999755859375,105.76000213623047,1.58,14886.0
2022-07-01,1798.9000244140625,108.43000030517578,1.58,14886.0
2022-07-04,1798.9000244140625,108.43000030517578,1.58,15007.0
2022-07-05,1761.800048828125,99.5,1.58,15007.0
2022-07-06,1734.9000244140625,98.52999877929688,1.58,15007.0
2022-07-07,1737.9000244140625,102.7300033569336,1.58,15007.0
2022-07-08,1740.5999755859375,104.79000091552734,1.58,15007.0
2022-07-11,1730.0,104.08999633789062,1.58,15020.0
2022-07-12,1723.300048828125,95.83999633789062,1.58,15020.0
2022-07-13,1734.199951171875,96.30000305175781,1.58,15020.0
2022-07-14,1704.5,95.77999877929688,1.58,15020.0
2022-07-15,1702.4000244140625,97.58999633789062,1.58,15020.0
2022-07-18,1709.199951171875,102.5999984741211,1.58,14990.0
2022-07-19,1710.0,104.22000122070312,1.58,14990.0
2022-07-20,1699.5,102.26000213623047,1.58,14990.0
2022-07-21,1712.699951171875,96.3499984741211,1.58,14990.0
2022-07-22,1727.0999755859375,94.69999694824219,1.58,14990.0
2022-07-25,1719.0,96.69999694824219,1.58,14945.0
2022-07-26,1717.699951171875,94.9800033569336,1.58,14945.0
2022-07-27,1719.0999755859375,97.26000213623047,1.58,14945.0
2022-07-28,1750.300048828125,96.41999816894531,2.33,14945.0
2022-07-29,1762.9000244140625,98.62000274658203,2.32,14945.0
2022-08-01,1769.0,93.88999938964844,2.33,14889.0
2022-08-02,1771.0999755859375,94.41999816894531,2.33,14889.0
2022-08-03,1758.0,90.66000366210938,2.33,14889.0
2022-08-04,1788.5,88.54000091552734,2.33,14889.0
2022-08-05,1772.9000244140625,89.01000213623047,2.33,14889.0
2022-08-08,1786.800048828125,90.76000213623047,2.33,14790.0
2022-08-09,1794.0,90.5,2.33,14790.0
2022-08-10,1795.5999755859375,91.93000030517578,2.33,14790.0
2022-08-11,1789.699951171875,94.33999633789062,2.33,14790.0
2022-08-12,1798.5999755859375,92.08999633789062,2.33,14790.0
2022-08-15,1781.4000244140625,89.41000366210938,2.33,14801.0
2022-08-16,1773.199951171875,86.52999877929688,2.33,14801.0
2022-08-17,1760.300048828125,88.11000061035156,2.33,14801.0
2022-08-18,1755.300048828125,90.5,2.33,14801.0
2022-08-19,1747.5999755859375,90.7699966430664,2.33,14801.0
2022-08-22,1734.0,90.2300033569336,2.33,14843.0
2022-08-23,1746.800048828125,93.73999786376953,2.33,14843.0
2022-08-24,1747.800048828125,94.88999938964844,2.33,14843.0
